Gene,Length,RPF,mRNA,TE
YER014W,539,25.82,41.36,0.624274661508704
YER015W,744,2.03,7.14,0.284313725490196
YER016W,344,57.63,72.39,0.796104434314132
YER017C,761,28.66,73.79,0.388399512129015
YER018C,221,19.58,32.74,0.598045204642639
YER019CA,88,805.02,541.37,1.48700519053512
YER019W,477,36.46,53.03,0.687535357344899
YER020W,449,38.3,46.15,0.829902491874323
YER021W,523,162.62,209.56,0.77600687154037
YER022W,687,28.01,39.76,0.704476861167002
YER023W,286,553.19,506.09,1.09306645063131
YER024W,923,1.09,10.5,0.103809523809524
YER025W,527,487.72,367.11,1.32853912996105
YER026C,276,234.09,201.85,1.15972256626208
YER027C,417,104.49,74.24,1.40746228448276
YER028C,394,11.96,22.73,0.526176858776947
YER029C,196,74.81,43.44,1.72214548802947
YER030W,153,337.8,174.67,1.93393255853896
YER031C,223,269.68,168.61,1.59943063875215
YER032W,876,14.54,27.08,0.536927621861152
YER033C,1076,6.5,15.64,0.415601023017903
YER034W,185,50.54,30.59,1.65217391304348
YER035W,145,73.37,41.75,1.75736526946108
YER036C,610,435.1,481.18,0.904235421256079
YER037W,321,31.69,35.26,0.898752127056154
YER038C,464,5.08,16.44,0.309002433090024
YER040W,730,12.87,23.53,0.546961325966851
YER041W,759,2.25,16.28,0.138206388206388
YER042W,184,179.65,123.04,1.46009427828348
YER043C,449,1588.87,1199.03,1.32512947966273
YER044C,148,114.04,90.12,1.26542387927208
YER045C,489,5.58,11.98,0.465776293823038
YER046W,143,9.92,21.34,0.46485473289597
YER047C,897,11.8,17.83,0.661805945036456
YER048C,391,203.77,139.84,1.45716533180778
YER048WA,94,244,174.35,1.39948379696014
YER049W,644,131.91,153.07,0.861762592278043
YER050C,138,130.29,86.66,1.50346180475421
YER051W,492,8.59,19.91,0.431441486690105
YER052C,527,126.7,128.87,0.983161325366649
YER053C,300,25.94,32.15,0.806842923794712
YER053CA,37,37.3,9.31,4.00644468313641
YER055C,297,418.19,522.48,0.800394273465013
YER056C,533,217.89,211.91,1.02821952715776
YER057C,129,439.52,274.69,1.60005824747898
YER058W,107,45.41,22.54,2.01464063886424
YER059W,420,30.27,35.97,0.841534612176814
YER060W,528,11.01,29.92,0.36798128342246
YER061C,442,18.38,35.3,0.520679886685552
YER062C,250,245.82,183.47,1.33983757562544
YER063W,218,189.08,128,1.4771875
YER064C,505,114.26,122.01,0.936480616342923
YER067W,161,76.18,56.86,1.33978192050651
YER068W,587,61.24,52.65,1.16315289648623
YER069W,863,15.86,33.76,0.46978672985782
YER070W,888,258.08,350.1,0.737160811196801
YER071C,126,62.99,53.51,1.17716314707531
YER072W,129,2098.51,1371.92,1.52961542947111
YER073W,520,152.33,211.34,0.720781678811394
YER074WA,85,226.46,155.17,1.45943159115808
YER075C,928,12.13,28.05,0.432442067736185
YER076C,302,6.65,15.16,0.438654353562005
YER077C,688,11.07,20.32,0.544783464566929
YER078C,511,18.06,34.29,0.52668416447944
YER080W,627,104.27,129.51,0.8051115743958
YER081W,469,11.04,35.36,0.312217194570136
YER082C,554,71.01,75.16,0.944784459819053
YER083C,285,110.53,102.23,1.08118947471388
YER086W,576,164.91,202.07,0.816103330529025
YER087CB,82,553.17,353.51,1.56479307516053
YER087W,576,19.99,24.52,0.815252854812398
YER088C,670,47.34,63.32,0.747631080227416
YER089C,464,100.5,163.03,0.616450959946022
YER090W,507,252.56,183.47,1.37657382678367
YER091C,767,763.85,673.48,1.13418364316683
YER092W,125,122.07,92.52,1.31939040207523
YER093C,1430,6.89,24.61,0.279967492889069
YER093CA,137,28.09,25.86,1.08623356535189
YER094C,205,297.4,257.84,1.15342848278002
YER095W,400,58.21,53.4,1.09007490636704
YER098W,754,4.17,13.51,0.308660251665433
YER099C,318,82.17,65.93,1.24632185651448
YER100W,250,177.81,88.98,1.99831422791639
YER101C,430,16.98,15.11,1.12375909993382
YER103W,642,26,24.22,1.07349298100743
YER104W,208,23.36,16.8,1.39047619047619
YER105C,1391,40.93,101.65,0.402656173143138
YER107C,365,67.77,71.06,0.953701097663946
YER110C,1113,463.94,504.31,0.919950030735064
YER111C,1093,16.38,45.79,0.357720026206595
YER112W,187,166.13,102.64,1.6185697583788
YER113C,706,20.97,55.63,0.376954880460183
YER114C,1040,43.37,62.51,0.69380899056151
YER115C,191,6.95,38.91,0.178617322025186
YER116C,274,19.96,25.69,0.776956014013235
YER118C,367,65.02,77.64,0.837454920144255
YER119C,448,34.19,42.4,0.806367924528302
YER120W,244,735.19,415.3,1.77026246087166
YER122C,493,197.04,176.4,1.11700680272109
YER123W,524,31.8,46.96,0.67717206132879
YER124C,573,173.14,240.49,0.719946775333694
YER125W,809,134.72,207.93,0.647910354446208
YER126C,261,242.08,168.01,1.44086661508244
YER127W,357,72.01,77.89,0.924508922839902
YER128W,203,18,15.27,1.17878192534381
YER129W,1142,9.38,43.27,0.216778368384562
YER130C,443,27.89,37.99,0.734140563306133
YER131W,119,2722.02,2027.75,1.34238441622488
YER132C,1753,5.93,36.86,0.160879001627781
YER133W,312,364.72,318.95,1.14350211631917
YER134C,178,64.28,59.45,1.08124474348192
YER136W,451,263.39,236.69,1.11280577971186
YER137C,148,16.68,18.95,0.880211081794195
YER139C,226,30.3,24.39,1.24231242312423
YER140W,556,11.15,28.33,0.393575714789975
YER142C,296,21.21,30.76,0.689531859557867
YER143W,428,61.01,38.87,1.56959094417288
YER144C,805,9.66,29.1,0.331958762886598
YER145C,404,283.31,305.4,0.927668631303209
YER146W,93,320.26,268.83,1.1913104936205
YER147C,624,10.38,19.95,0.520300751879699
YER148W,240,198.69,199.94,0.993748124437331
YER149C,420,25.96,46.29,0.560812270468784
YER150W,148,20.23,16.96,1.19280660377358
YER151C,912,63.16,88.5,0.713672316384181
YER152C,443,38.51,102.43,0.375964073025481
YER153C,254,7.86,34.3,0.229154518950437
YER154W,402,35.17,82.39,0.426872193227333
YER155C,2167,37.47,146.69,0.255436635080783
YER156C,338,167.98,142.99,1.17476746625638
YER157W,801,19.33,43.69,0.442435339894713
YER158C,573,4.24,7.13,0.594670406732118
YER159C,142,112.01,76.25,1.46898360655738
YER161C,333,40.63,46.7,0.870021413276231
YER162C,754,8.42,10.9,0.772477064220183
YER163C,232,44.63,67.03,0.665821274056393
YER164W,1468,47.41,76.54,0.619414685131957
YER165W,577,1314.99,1120.69,1.17337533126913
YER166W,1571,33.12,92.42,0.358363990478251
YER167W,851,14.21,35.57,0.399493955580545
YER168C,546,43.36,58.23,0.744633350506612
YER169W,796,12.14,24.55,0.494501018329939
YER170W,225,28.91,21,1.37666666666667
YER171W,778,23.91,43.65,0.547766323024055
YER172C,2163,19.19,52.22,0.367483722711605
YER173W,659,4.32,18.67,0.231387252276379
YER174C,244,49.81,59.7,0.834338358458961
YER175C,299,19.83,22.39,0.885663242518982
YER176W,1121,26.75,40.13,0.66658360328931
YER177W,267,1767.18,1289.55,1.37038501802955
YER178W,420,838.24,996.84,0.840897235263432
YER180CA,85,52.67,50.95,1.03375858684985
YER182W,244,38.29,32.27,1.18655097613883
YER183C,211,60.18,71.61,0.840385421030582
YER184C,794,1.38,9.73,0.141829393627955
YFL001W,442,26.24,43.31,0.605864696374971
YFL002C,606,32.71,49.7,0.658148893360161
YFL004W,828,209.16,286.55,0.729924969464317
YFL005W,215,407.1,263.7,1.54379977246871
YFL007W,2143,34.58,101.99,0.339052848318463
YFL008W,1225,30.44,54.04,0.563286454478164
YFL010C,211,576.42,247.48,2.32915791175044
YFL013C,692,32.1,35.56,0.902699662542182
YFL014W,109,86.72,45.15,1.92070874861573
YFL016C,511,58.29,72.52,0.803778268063982
YFL017C,159,74.29,82.95,0.895599758890898
YFL017WA,77,161.14,99.07,1.62652669829414
YFL018C,499,343.57,300.72,1.14249135408353
YFL021W,510,19.3,28.85,0.668977469670711
YFL022C,503,430.57,323.57,1.33068578669222
YFL023W,796,35.02,36.48,0.959978070175439
YFL024C,832,13.07,33.6,0.388988095238095
YFL025C,1029,12.32,28.31,0.435181914517838
YFL026W,431,321.34,474.34,0.677446557321752
YFL027C,497,10,25.55,0.391389432485323
YFL028C,289,53.51,51.09,1.04736739087884
YFL029C,368,20.11,26.75,0.751775700934579
YFL031W,238,17.1,1201.84,0.0142281834520402
YFL034CA,122,522.52,328.37,1.59125376861467
YFL034CB,287,47.97,32.75,1.46473282442748
YFL034W,1073,14.23,30.91,0.46036881268198
YFL036W,1351,24.25,53.99,0.449157251342841
YFL037W,457,467.9,475.57,0.983871985196711
YFL038C,206,686.03,505.53,1.35705101576563
YFL039C,375,3370.36,2638.2,1.27752255325601
YFL041W,622,60.01,72.48,0.827952538631347
YFL042C,674,20.11,30.3,0.663696369636964
YFL044C,301,56.33,56.08,1.00445791726106
YFL045C,254,1218.55,903.7,1.34840101803696
YFL046W,207,45.29,45.41,0.997357410262057
YFL047W,714,26.77,55.21,0.484875928273863
YFL048C,445,141.71,152.29,0.930527283472323
YFL049W,623,21.01,27.89,0.753316600932234
YFL054C,646,3.57,11.88,0.30050505050505
YFR001W,204,128.6,81.06,1.58647915124599
YFR002W,839,55.67,96.38,0.577609462544096
YFR003C,155,110.48,71.44,1.5464725643897
YFR004W,306,267.84,176.76,1.5152749490835
YFR005C,448,25.11,46.69,0.537802527307775
YFR006W,535,113.39,106.53,1.06439500610157
YFR007W,353,17.95,23.14,0.77571305099395
YFR008W,221,23.51,17.15,1.37084548104956
YFR009W,752,186.33,219.51,0.848845155118218
YFR010W,499,152.55,132.06,1.15515674693321
YFR011C,170,107.93,59.93,1.80093442349408
YFR013W,787,23.67,46.15,0.512892741061755
YFR014C,446,33.18,43.26,0.766990291262136
YFR015C,708,16.36,24.47,0.668573763792399
YFR017C,195,12.66,13.12,0.964939024390244
YFR018C,363,29.7,58.84,0.50475866757308
YFR021W,500,26.51,35.04,0.756563926940639
YFR022W,733,2.23,13.29,0.167795334838224
YFR024CA,459,198.39,196.22,1.01105901539089
YFR025C,335,45.93,73.16,0.627802077638054
YFR027W,281,16.56,14.19,1.16701902748414
YFR028C,551,48.28,81.37,0.593339068452747
YFR029W,678,8.44,18.44,0.457700650759219
YFR030W,1035,23.31,51.88,0.449306090979183
YFR031C,1170,10.79,31.38,0.343849585723391
YFR032CA,59,8843.7,4350.12,2.0329784005958502
YFR033C,147,99.3,117.51,0.845034465151902
YFR034C,312,72.37,72.56,0.997381477398015
YFR036W,124,63.28,37.71,1.67806947759215
YFR037C,557,131.87,128.65,1.02502914885348
YFR038W,853,18.46,43.16,0.427710843373494
YFR039C,510,28.06,50.47,0.555973845849019
YFR040W,1002,30.16,62.72,0.480867346938776
YFR041C,295,52.95,56.72,0.933533145275035
YFR042W,200,39.2,47,0.834042553191489
YFR043C,237,20.83,17.44,1.19438073394495
YFR044C,481,466.59,447.44,1.04279903450742
YFR045W,309,16.63,17.52,0.949200913242009
YFR046C,361,8.4,14.59,0.575736806031528
YFR047C,295,127.85,112.11,1.14039782356614
YFR048W,662,15.18,30.93,0.49078564500485
YFR049W,123,164.61,80.02,2.05711072231942
YFR050C,266,303.35,232.57,1.30433847873758
YFR051C,546,157.67,171.35,0.920163408228772
YFR052W,274,218.11,189.68,1.14988401518347
YFR053C,485,483.03,309.5,1.56067851373183
YFR055W,340,101.4,106.68,0.950506186726659
YGL001C,349,178.16,163.02,1.09287204024046
YGL002W,216,39.92,77.7,0.513770913770914
YGL003C,566,12.47,25.3,0.492885375494071
YGL004C,417,22.89,23.13,0.989623865110246
YGL005C,279,29.05,44.28,0.656052393857272
YGL006W,1173,17.08,49.72,0.343523732904264
YGL008C,918,4779.47,5373.2,0.889501600535993
YGL009C,779,822.07,852.45,0.964361546131738
YGL010W,174,19.44,31.96,0.608260325406758
YGL011C,252,331.79,292.75,1.1333561058924
YGL012W,473,291.52,375.1,0.777179418821647
YGL013C,1068,19.05,55.3,0.344484629294756
YGL014W,888,41.64,102.7,0.405452775073028
YGL016W,1081,34.32,82.59,0.415546676353069
YGL017W,503,16.11,23.48,0.686115843270869
YGL018C,184,38.94,25.68,1.51635514018692
YGL019W,278,123.03,127.82,0.962525426380848
YGL020C,235,102.42,82.51,1.24130408435341
YGL021W,760,31.54,50.58,0.623566627125346
YGL022W,718,129.99,280.9,0.462762548949804
YGL023C,635,27.08,56.42,0.479971641261964
YGL025C,397,26.49,25.04,1.05790734824281
YGL026C,707,427.94,333.23,1.28421810761336
YGL027C,833,95.09,130.22,0.730225771770849
YGL028C,542,178.94,146.92,1.21794173699973
YGL029W,120,158.25,71.77,2.20496028981469
YGL030W,105,5592.48,3276.33,1.7069342831766
YGL032C,87,172.48,123.32,1.39863769056114
YGL035C,504,47.27,44.04,1.07334241598547
YGL036W,909,12.97,38.12,0.340241343126968
YGL037C,216,516.44,322.41,1.60181135820849
YGL038C,480,35.58,47.06,0.756056098597535
YGL039W,348,97.6,112.86,0.864788233209286
YGL040C,342,196.21,164.05,1.19603779335568
YGL041WA,154,65.67,58.8,1.11683673469388
YGL043W,309,167.7,125.98,1.33116367677409
YGL044C,296,57.74,32.09,1.79931442817077
YGL045W,542,5.82,9.99,0.582582582582583
YGL047W,202,40.61,34.6,1.17369942196532
YGL048C,405,234.19,223.6,1.04736135957066
YGL049C,914,72.23,81.47,0.886584018657175
YGL050W,273,48.7,43.99,1.10706978858832
YGL054C,138,454.8,323.82,1.40448397257736
YGL055W,510,337.52,376.74,0.895896374157244
YGL056C,527,55.08,49.78,1.10646846122941
YGL057C,287,17.13,26.41,0.648617947747065
YGL058W,172,144.76,129.33,1.11930719863914
YGL059W,491,5.46,14.63,0.373205741626794
YGL060W,641,19.33,33.94,0.569534472598704
YGL061C,247,39.82,42.84,0.929505135387488
YGL063W,370,3.26,13.7,0.237956204379562
YGL064C,561,14.76,22.28,0.662477558348294
YGL065C,503,45.7,56.46,0.809422600070847
YGL066W,657,27.82,27.72,1.0036075036075
YGL067W,384,47.13,69.72,0.675989672977625
YGL068W,194,208.4,172,1.21162790697674
YGL070C,122,175.94,99.24,1.77287384119307
YGL071W,690,20.63,49.07,0.420419808436927
YGL073W,833,19.45,39.76,0.489185110663984
YGL075C,387,10.73,16.53,0.649122807017544
YGL077C,563,93.91,133.13,0.705400736122587
YGL078C,523,161.36,137.48,1.17369799243526
YGL079W,218,25.83,51.02,0.506272050176401
YGL080W,130,91.8,62.47,1.46950536257404
YGL081W,320,5.43,5.84,0.929794520547945
YGL082W,381,58.19,61.75,0.942348178137652
YGL083W,804,16.18,27.3,0.592673992673993
YGL084C,560,56.03,80.5,0.696024844720497
YGL085W,274,7.5,17.42,0.430539609644087
YGL086W,749,23.03,46.52,0.495055889939811
YGL087C,137,154.69,89.09,1.73633404422494
YGL090W,421,5.02,19.76,0.254048582995951
YGL091C,328,44.48,41.86,1.06258958432871
YGL092W,1317,50.32,111.06,0.45308842067351
YGL093W,917,17.56,35.96,0.488320355951057
YGL094C,1115,12.67,55.04,0.230196220930233
YGL095C,577,27.88,43.76,0.637111517367459
YGL097W,482,142.16,136.31,1.04291688063972
YGL098W,245,47.1,40.78,1.15497793035802
YGL099W,640,118.29,121.12,0.976634742404227
YGL100W,349,81.94,101.39,0.80816648584673
YGL101W,215,91.79,78.29,1.17243581555754
YGL103W,149,9751.64,7380.96,1.32118857167631
YGL104C,486,9.76,17.11,0.570426651081239
YGL105W,376,885.51,742.02,1.19337753699361
YGL106W,149,646.82,358.05,1.8065074710236
YGL107C,646,27.29,45.56,0.598990342405619
YGL108C,140,63.77,46.4,1.37435344827586
YGL110C,624,21.5,27.21,0.790150679897097
YGL111W,463,67.32,77.92,0.863963039014374
YGL112C,516,61.11,78.97,0.773838166392301
YGL113W,668,5.18,22.69,0.228294402820626
YGL114W,725,18.28,37.81,0.483469981486379
YGL115W,322,94.69,143.37,0.660458952361024
YGL116W,610,29.22,33.81,0.864241348713398
YGL117W,265,5.5,14.11,0.38979447200567
YGL119W,501,22.94,34.28,0.669194865810969
YGL120C,767,146.81,154.58,0.949734765170138
YGL123W,254,6434.73,4744.81,1.35616178519266
YGL124C,644,10.15,21.55,0.470997679814385
YGL125W,600,23.13,38.31,0.603758809710258
YGL126W,380,25.05,62.81,0.398821843655469
YGL127C,127,54.43,53.09,1.02524015822189
YGL128C,283,10.69,12.35,0.865587044534413
YGL129C,450,37.07,46.81,0.791924802392651
YGL130W,459,47.36,46.11,1.02710908696595
YGL131C,1403,4.44,27.01,0.164383561643836
YGL133W,1264,15.93,32.51,0.490003075976623
YGL134W,433,6.57,25.12,0.261544585987261
YGL136C,320,7.59,24.15,0.314285714285714
YGL137W,889,279.37,328.62,0.850130850222141
YGL139W,802,33.55,67.62,0.496154983732623
YGL140C,1219,22.7,77.03,0.294690380371284
YGL141W,910,17,27.64,0.615050651230101
YGL142C,616,15.71,39.95,0.393241551939925
YGL143C,413,13.87,24.91,0.556804496186271
YGL144C,685,4.39,16.31,0.269160024524831
YGL145W,701,24.67,33.28,0.741286057692308
YGL148W,376,482.09,448.43,1.07506188256807
YGL150C,1489,27.64,78.9,0.350316856780735
YGL151W,1132,22.36,49.04,0.455954323001631
YGL153W,341,41.21,35.5,1.16084507042254
YGL154C,272,6.19,19,0.325789473684211
YGL155W,376,25.19,64.66,0.389576244973709
YGL156W,1083,8.09,11.41,0.709027169149869
YGL157W,347,103.57,97.01,1.06762189465004
YGL159W,370,24.64,35.91,0.686159844054581
YGL160W,570,21.96,40.84,0.537708129285015
YGL161C,310,91.35,87.32,1.04615208428768
YGL162W,299,11.92,22.39,0.532380527020991
YGL163C,898,11.13,24.33,0.457459926017263
YGL164C,440,26.43,24.38,1.08408531583265
YGL166W,225,26.75,31.06,0.861236316806182
YGL167C,950,78.06,158.63,0.492088507848452
YGL169W,426,30.27,41.01,0.73811265544989
YGL171W,564,72.87,71.03,1.02590454737435
YGL172W,472,85.52,73.41,1.16496390137583
YGL173C,1528,199.69,317.52,0.628905265810028
YGL174W,266,25.96,23.87,1.08755760368664
YGL175C,345,5.15,16.69,0.308568004793289
YGL176C,554,3.85,21.94,0.175478577939836
YGL178W,859,14.97,34.03,0.439905965324713
YGL179C,560,7.15,15.12,0.472883597883598
YGL180W,897,8.54,21.78,0.392102846648301
YGL181W,396,94.63,67.24,1.40734681737061
YGL184C,465,9.7,8.04,1.20646766169154
YGL185C,379,21.39,26.36,0.811456752655539
YGL186C,579,72.27,67.24,1.07480666270077
YGL187C,155,137.73,79.7,1.72810539523212
YGL190C,526,52.33,76.07,0.687919021953464
YGL191W,129,280.31,165.2,1.69679176755448
YGL194C,452,29.76,40.29,0.738644825018615
YGL194CA,80,33.21,35.68,0.930773542600897
YGL195W,2672,177.36,353.97,0.501059411814561
YGL196W,428,40.3,55.08,0.731663035584604
YGL197W,1487,16.98,58.45,0.290504704875962
YGL198W,235,84.03,91.31,0.920271602234147
YGL200C,203,499.94,439.54,1.13741638986213
YGL201C,1017,43.12,66.3,0.650377073906486
YGL202W,500,451.12,372.66,1.21054043900606
YGL203C,729,66.94,71.97,0.930109767958872
YGL206C,1653,341.45,404.14,0.844880486959964
YGL207W,1035,174.06,197.15,0.882881055034238
YGL208W,415,16.78,17.79,0.943226531759416
YGL209W,382,37.57,32.98,1.13917525773196
YGL210W,222,67.86,57.2,1.18636363636364
YGL211W,359,27.67,53.46,0.517583239805462
YGL212W,316,31.51,19.78,1.59302325581395
YGL213C,397,73.34,61.98,1.18328493062278
YGL215W,452,28.88,166.16,0.173808377467501
YGL216W,805,15.22,35.58,0.427768409218662
YGL219C,459,26.62,44.28,0.601174345076784
YGL220W,120,192.86,168.56,1.14416231608923
YGL221C,288,165.78,154.65,1.07196896217265
YGL222C,175,57.5,38.25,1.50326797385621
YGL223C,417,25.2,34.82,0.723721998851235
YGL224C,280,30.1,50.09,0.600918346975444
YGL225W,337,301.04,286.53,1.05064042159634
YGL226CA,86,201.6,116.74,1.72691451087888
YGL226W,123,54.31,32.81,1.65528802194453
YGL227W,958,14.59,27.43,0.531899380240612
YGL228W,577,105.45,135.45,0.778516057585825
YGL229C,818,4.17,21.42,0.194677871148459
YGL231C,190,163.92,133.4,1.2287856071964
YGL232W,289,110.75,119.04,0.930359543010753
YGL233W,910,23.11,62.25,0.371244979919679
YGL234W,802,426.16,408.45,1.04335904027421
YGL236C,669,9.07,25.67,0.353330736268017
YGL237C,265,30.9,21.54,1.43454038997214
YGL238W,960,75.7,156.51,0.483675164526228
YGL240W,250,10.86,15.16,0.716358839050132
YGL241W,1004,22.79,36.13,0.630777747024633
YGL242C,181,199.99,106.86,1.87151413063822
YGL243W,400,8.68,23.87,0.363636363636364
YGL244W,558,119.78,66.94,1.78936360920227
YGL245W,708,841.31,821.85,1.02367828679199
YGL246C,387,39.39,51.12,0.770539906103286
YGL247W,197,13.88,32.98,0.420861127956337
YGL248W,369,22.74,44.01,0.516700749829584
YGL250W,241,12.74,7.35,1.73333333333333
YGL251C,1187,1.11,7.92,0.140151515151515
YGL252C,588,55.26,74.99,0.736898253100413
YGL253W,486,2040.98,1692.76,1.20571138259411
YGL254W,299,23.32,24.85,0.938430583501006
YGL255W,376,9.74,15.18,0.64163372859025
YGL256W,382,10.85,49.47,0.219324843339398
YGL257C,558,16.53,54.42,0.30374862183021
YGR001C,248,176.89,149.83,1.18060468531002
YGR002C,476,25.55,33.91,0.753465054556178
YGR003W,744,14.8,29.37,0.503915560095335
YGR004W,462,19.23,29.29,0.656538067599863
YGR005C,400,77.93,64.47,1.20877927718319
YGR006W,251,15.59,21.96,0.709927140255009
YGR007W,323,54.8,93.25,0.587667560321716
YGR008C,84,307.99,123.62,2.4914253357062
YGR009C,651,61.79,53.07,1.16431128697946
YGR010W,395,21.09,31.4,0.671656050955414
YGR012W,393,41.71,60.99,0.683882603705525
YGR013W,620,17.42,24.05,0.724324324324324
YGR014W,1306,66.33,126.2,0.525594294770206
YGR015C,328,7.45,15.6,0.477564102564103
YGR016W,190,14.7,13.47,1.0913140311804
YGR017W,297,63.07,95.28,0.661943744752309
YGR019W,471,77.96,70.95,1.09880197322058
YGR020C,118,496.69,432.51,1.14838963260965
YGR021W,290,22.83,27.32,0.835651537335285
YGR023W,551,3.79,9.29,0.407965554359526
YGR024C,237,40.95,97.39,0.420474381353322
YGR026W,278,194.33,169.07,1.14940557165671
YGR027C,108,7720.04,5355.34,1.44155926607834
YGR028W,362,25.34,42.28,0.599337748344371
YGR029W,189,58.76,65.88,0.891924711596843
YGR030C,158,53.64,44.54,1.20431073192636
YGR031W,342,30.71,41.3,0.743583535108959
YGR032W,1895,12.14,34.62,0.350664355863663
YGR033C,239,50.37,86.28,0.583796940194715
YGR034W,127,4554.68,3360.2,1.35547884054521
YGR035C,116,99.2,62.37,1.59050825717492
YGR036C,239,25.56,27.8,0.919424460431655
YGR037C,87,2190.07,1014.29,2.15921482021907
YGR038W,222,86.8,68.72,1.26309662398137
YGR040W,368,23.1,44.8,0.515625
YGR041W,547,24.31,56.86,0.427541329581428
YGR042W,271,13.68,31.78,0.430459408432977
YGR043C,333,5.78,10.35,0.558454106280193
YGR044C,300,73.6,91.7,0.802617230098146
YGR046W,385,15.67,31.19,0.50240461686438
YGR047C,1025,18.46,34.14,0.540714704159344
YGR048W,361,46.36,48.67,0.952537497431683
YGR049W,187,59.07,41.32,1.42957405614714
YGR052W,369,3.04,4,0.76
YGR054W,642,176.42,168.5,1.04700296735905
YGR055W,574,190.73,227.64,0.837858021437357
YGR056W,928,21.11,32.62,0.647148988350705
YGR057C,242,11.46,27.86,0.411342426417803
YGR058W,335,22.38,19.54,1.1453428863869
YGR060W,309,728.93,606.19,1.20247777099589
YGR061C,1358,307.99,418.55,0.735849958188986
YGR062C,316,7.44,18.38,0.404787812840044
YGR063C,102,197.42,116.28,1.69779841761266
YGR065C,593,20.94,38.59,0.542627623736719
YGR068C,586,11.14,22.84,0.487740805604203
YGR070W,1155,1.6,14.19,0.112755461592671
YGR071C,860,8.49,20.6,0.412135922330097
YGR072W,387,27.88,24.8,1.1241935483871
YGR074W,146,94.97,74.5,1.27476510067114
YGR075C,242,16.01,11.39,1.40561896400351
YGR076C,157,59.96,37.93,1.58080674927498
YGR077C,589,9.06,27.99,0.323687031082529
YGR078C,199,185.45,128.11,1.4475841074077
YGR079W,370,48.96,44.56,1.09874326750449
YGR080W,332,78.22,49.22,1.5891913856156
YGR081C,210,91.35,73.59,1.24133713819812
YGR082W,183,239.65,169.43,1.41444844478546
YGR083C,651,95.77,107.28,0.892710663683818
YGR084C,339,45.18,54.3,0.832044198895028
YGR086C,339,796.03,704.55,1.1298417429565
YGR088W,562,2.72,9.72,0.279835390946502
YGR089W,936,15.11,39.59,0.381662035867643
YGR090W,1237,64.2,116.02,0.553352870194794
YGR091W,494,16.67,25.4,0.656299212598425
YGR092W,572,40.71,46.38,0.877749029754204
YGR093W,507,24.61,37.47,0.656792100346944
YGR094W,1104,481.42,713.09,0.675118147779383
YGR095C,223,71.91,62.68,1.14725590299936
YGR096W,314,5.45,14.26,0.38218793828892
YGR097W,1146,13.29,34.61,0.38399306558798
YGR098C,1630,5.75,32.19,0.178626902764834
YGR099W,688,12.08,30.97,0.390054891830804
YGR100W,950,18.85,41.08,0.458860759493671
YGR101W,346,29.34,33.43,0.877654801076877
YGR102C,183,39.23,53.79,0.729317717047778
YGR103W,605,207.28,280,0.740285714285714
YGR104C,307,25.37,33.02,0.76832222895215
YGR105W,77,268,152.76,1.75438596491228
YGR106C,265,418.72,348.41,1.20180247409661
YGR108W,471,30.55,62.28,0.490526653821451
YGR109C,380,16.47,17.74,0.928410372040586
YGR111W,400,54.13,66.19,0.817797250339931
YGR112W,389,15.01,20.24,0.741600790513834
YGR113W,343,28.98,41.61,0.696467195385725
YGR116W,1451,113.97,194.62,0.585602712979139
YGR117C,476,29.97,67.41,0.444592790387183
YGR119C,541,83.21,97.88,0.85012259910094
YGR120C,262,25,32.5,0.769230769230769
YGR121C,492,5.18,13,0.398461538461538
YGR122W,402,17.12,31.59,0.541943653054764
YGR123C,513,113.58,125.2,0.907188498402556
YGR124W,572,700.59,717.41,0.976554550396565
YGR125W,1036,22.03,47.08,0.467926932880204
YGR126W,230,16,18.4,0.869565217391304
YGR127W,312,11.11,26.34,0.421791951404708
YGR128C,713,78.41,86.21,0.909523257162742
YGR129W,215,32.09,23.58,1.36089906700594
YGR130C,816,101.87,89.2,1.14204035874439
YGR132C,287,192.36,199.6,0.96372745490982
YGR133W,183,15.19,23.67,0.641740599915505
YGR134W,1122,9.38,28.95,0.324006908462867
YGR135W,258,422.04,355.38,1.18757386459564
YGR136W,241,228.33,165.62,1.37863784567081
YGR140W,956,12.16,25.74,0.472416472416472
YGR141W,467,34.5,27.82,1.24011502516175
YGR142W,410,31.35,43.57,0.719531787927473
YGR143W,771,17.76,38.04,0.466876971608833
YGR145W,707,69.58,81.1,0.857953144266338
YGR146C,211,41.15,66.24,0.621225845410628
YGR147C,288,57.68,87.49,0.6592753457538
YGR149W,432,15.58,23.47,0.663826161056668
YGR150C,864,7.66,28.03,0.273278630039244
YGR152C,272,84.97,54.1,1.57060998151571
YGR153W,217,7.49,10.21,0.733594515181195
YGR155W,507,903.48,812.58,1.11186590858746
YGR156W,425,27.17,29.3,0.927303754266212
YGR157W,869,109.94,347.79,0.316110296443256
YGR158C,250,72.77,66.54,1.09362789299669
YGR159C,414,520.11,375.77,1.38411794448732
YGR161C,263,65.78,34.24,1.92114485981308
YGR161WC,92,34.58,32.63,1.0597609561753
YGR162W,952,312.74,404.68,0.772808144706929
YGR163W,341,49.13,47.34,1.03781157583439
YGR165W,345,46.1,56.21,0.820138765344245
YGR166W,560,11.94,24.87,0.480096501809409
YGR167W,233,470.16,281.98,1.66735229448897
YGR168C,376,4.08,18.85,0.216445623342175
YGR169C,404,11.4,20.59,0.553666828557552
