Gene,Length,RPF,mRNA,TE,FEcap,uATG,utr,gc
YDR387C,555,5.17,21.55,0.239907192575406,NA,FALSE,NA,NA
YDR388W,482,207.72,229.53,0.904979741210299,NA,FALSE,NA,NA
YDR389W,654,26.3,63.29,0.415547479854637,NA,FALSE,NA,NA
YDR390C,636,36.25,52.85,0.685903500473037,-7.5,TRUE,30,0.4
YDR391C,232,29.35,38.18,0.768727082242012,-5.5,TRUE,12,0.416666666666667
YDR392W,337,35.26,29.35,1.20136286201022,-13.2,TRUE,71,0.394366197183099
YDR393W,456,11.51,29.57,0.389245857287792,NA,FALSE,NA,NA
YDR394W,428,201.23,183.29,1.09787768017895,-9.1,TRUE,105,0.333333333333333
YDR395W,944,120.63,157.45,0.766147983486821,-11.5,TRUE,123,0.349593495934959
YDR397C,146,132.95,138.88,0.957301267281106,-6.1,TRUE,65,0.4
YDR398W,643,73.79,81.9,0.900976800976801,-9.8,TRUE,37,0.405405405405405
YDR399W,221,420.2,360.54,1.16547401120541,-8.8,TRUE,78,0.371794871794872
YDR400W,340,51.01,65.14,0.783082591341726,-9,TRUE,21,0.333333333333333
YDR404C,171,122.76,117.71,1.04290204740464,-11.4,TRUE,193,0.383419689119171
YDR405W,263,48.06,39.11,1.22884172845819,NA,FALSE,NA,NA
YDR406W,1529,9.1,28.26,0.322009907997169,NA,FALSE,NA,NA
YDR407C,1289,12.9,49.41,0.261080752884032,-15.7,TRUE,81,0.37037037037037
YDR408C,214,150.71,138.68,1.0867464666859,-8.6,TRUE,47,0.382978723404255
YDR410C,239,39.85,61.57,0.647230794217963,NA,FALSE,NA,NA
YDR411C,341,47.65,56.14,0.848770929818311,-6.2,TRUE,51,0.411764705882353
YDR412W,235,120.68,60.31,2.00099485989057,-13.8,TRUE,68,0.382352941176471
YDR414C,362,17.29,34.53,0.500724008108891,NA,FALSE,NA,NA
YDR415C,374,45.32,32.5,1.39446153846154,-10.1,TRUE,29,0.379310344827586
YDR416W,859,13.68,26.47,0.51681148469966,-7.3,TRUE,64,0.40625
YDR419W,632,10.12,20.09,0.503733200597312,NA,FALSE,NA,NA
YDR421W,950,7.35,32.17,0.228473733291887,NA,FALSE,NA,NA
YDR422C,815,22.3,49.94,0.446535843011614,-12.7,TRUE,57,0.385964912280702
YDR423C,409,27.9,44.52,0.626684636118598,NA,FALSE,NA,NA
YDR424C,92,215.5,135.34,1.59228609428107,NA,FALSE,NA,NA
YDR425W,625,13.2,16.77,0.787119856887299,NA,FALSE,NA,NA
YDR427W,393,146,156.91,0.930469696004079,NA,FALSE,NA,NA
YDR428C,261,40.39,49.03,0.823781358352029,-8.6,TRUE,29,0.379310344827586
YDR429C,274,539.16,435.39,1.23833804175567,-5.8,TRUE,18,0.277777777777778
YDR430C,989,37.49,62.1,0.603703703703704,NA,FALSE,NA,NA
YDR432W,414,846.72,416.55,2.03269715520346,-6.2,TRUE,29,0.379310344827586
YDR434W,534,60.88,82.85,0.734821967410984,NA,FALSE,NA,NA
YDR435C,328,24.47,34.96,0.699942791762014,NA,FALSE,NA,NA
YDR436W,710,11.41,19.76,0.577429149797571,NA,FALSE,NA,NA
YDR437W,140,17.45,14.76,1.18224932249322,-14.2,TRUE,68,0.382352941176471
YDR439W,347,11.2,18.86,0.593849416755037,NA,FALSE,NA,NA
YDR440W,582,15.27,30.1,0.507308970099668,-15.9,TRUE,96,0.364583333333333
YDR441C,181,52.73,83.2,0.633774038461538,-6,TRUE,42,0.380952380952381
YDR443C,1420,7.42,28.49,0.26044226044226,NA,FALSE,NA,NA
YDR444W,687,8.68,28.23,0.307474318101311,-3.6,TRUE,66,0.393939393939394
YDR448W,434,31.77,44.34,0.716508795669824,-8.1,TRUE,37,0.405405405405405
YDR449C,440,63.01,72.7,0.866712517193948,-7.1,TRUE,30,0.4
YDR451C,353,66.9,57.3,1.16753926701571,NA,FALSE,NA,NA
YDR452W,674,55.75,112.45,0.495775900400178,NA,FALSE,NA,NA
YDR453C,196,27.34,27.87,0.980983135988518,NA,FALSE,NA,NA
YDR454C,187,696.34,539.26,1.2912880614175,-7.4,TRUE,17,0.294117647058824
YDR456W,633,29.85,65.93,0.452752919763385,-15.9,TRUE,44,0.363636363636364
YDR457W,3268,36.56,124.83,0.292878314507731,NA,FALSE,NA,NA
YDR458C,663,24.7,39.94,0.618427641462193,-7.1,TRUE,50,0.42
YDR459C,374,4.54,26.84,0.169150521609538,NA,FALSE,NA,NA
YDR460W,321,31.27,34.34,0.910599883517763,-9.9,TRUE,113,0.345132743362832
YDR461CA,80,117.59,65.83,1.78626765912198,NA,FALSE,NA,NA
YDR461W,36,1595.65,474.38,3.36365361102913,NA,FALSE,NA,NA
YDR462W,147,111.07,64.95,1.71008468052348,-8.9,TRUE,55,0.4
YDR463W,519,67.95,65.72,1.03393183201461,NA,FALSE,NA,NA
YDR464W,1435,15.96,39.13,0.407871198568873,NA,FALSE,NA,NA
YDR465C,412,70.77,70.72,1.00070701357466,-11.7,TRUE,44,0.363636363636364
YDR466W,898,12.93,32.44,0.398581997533909,NA,FALSE,NA,NA
YDR468C,224,91.11,47.24,1.92866215071973,-8.8,TRUE,53,0.415094339622642
YDR469W,175,48.8,62.15,0.785197103781175,NA,FALSE,NA,NA
YDR470C,502,20.7,28.82,0.718251214434421,NA,FALSE,NA,NA
YDR471W,136,2441.23,1745.69,1.3984327114207,-5.8,TRUE,37,0.405405405405405
YDR472W,283,43.09,42.43,1.01555503181711,-5.9,TRUE,71,0.394366197183099
YDR473C,469,14.75,16.89,0.873297809354648,NA,FALSE,NA,NA
YDR475C,876,8.37,22.81,0.366944322665498,-3.1,TRUE,33,0.393939393939394
YDR476C,224,78.21,83.05,0.941721854304636,-12.9,TRUE,19,0.263157894736842
YDR477W,633,72.02,86.69,0.830776329449764,-7.4,TRUE,282,0.382978723404255
YDR478W,198,19.47,21.13,0.921438712730715,-4,TRUE,41,0.390243902439024
YDR479C,554,12.9,25.76,0.500776397515528,NA,FALSE,NA,NA
YDR480W,323,22.51,27.12,0.830014749262537,NA,FALSE,NA,NA
YDR481C,566,219.68,259.55,0.84638797919476,-6.9,TRUE,56,0.392857142857143
YDR482C,135,49.53,35.36,1.40073529411765,NA,FALSE,NA,NA
YDR483W,442,199.97,295.29,0.677198686037455,-9.9,TRUE,27,0.37037037037037
YDR484W,641,14.5,24.11,0.601410203235172,-10.6,TRUE,30,0.4
YDR485C,795,15.44,23.09,0.668687743611953,NA,FALSE,NA,NA
YDR486C,229,75.82,61.04,1.24213630406291,-8.1,TRUE,10,0.5
YDR488C,533,9.82,23.27,0.422002578427159,-8.6,TRUE,50,0.42
YDR489W,294,18.62,24.61,0.756603006907761,-8.4,TRUE,10,0.5
YDR490C,766,19.39,34.37,0.564154786150713,-14.5,TRUE,86,0.383720930232558
YDR492W,316,49.29,40.34,1.22186415468518,-6.3,TRUE,155,0.367741935483871
YDR493W,123,78.22,42.01,1.86193763389669,-9.9,TRUE,89,0.370786516853933
YDR494W,361,43.61,43.49,1.00275925500115,-5.6,TRUE,65,0.4
YDR495C,1011,10.34,19.18,0.539103232533889,NA,FALSE,NA,NA
YDR496C,656,127.83,119.14,1.07293939902636,-7.8,TRUE,29,0.379310344827586
YDR497C,584,116.36,237.65,0.489627603618767,-10.6,TRUE,76,0.381578947368421
YDR498C,383,21.57,32,0.6740625,NA,FALSE,NA,NA
YDR499W,747,6.91,19.04,0.362920168067227,NA,FALSE,NA,NA
YDR500C,88,4369.54,2763.88,1.58094417992098,NA,FALSE,NA,NA
YDR501W,521,9.7,11.9,0.815126050420168,NA,FALSE,NA,NA
YDR502C,384,496.09,353.99,1.40142376903302,-10.4,TRUE,1,1
YDR503C,274,19.63,32.33,0.607175997525518,NA,FALSE,NA,NA
YDR505C,841,30.28,59.46,0.509249915909855,-6.2,TRUE,230,0.373913043478261
YDR506C,608,12.41,18.05,0.687534626038781,-13.1,TRUE,19,0.263157894736842
YDR507C,1142,54.23,79.6,0.681281407035176,-7.1,TRUE,126,0.357142857142857
YDR508C,663,205.04,258.77,0.792363875256019,-6.6,TRUE,45,0.377777777777778
YDR510W,101,1301.84,702.66,1.85273105057923,-8.4,TRUE,47,0.382978723404255
YDR511W,133,72.73,54.77,1.32791674274238,-4,TRUE,26,0.384615384615385
YDR512C,187,100.17,60.8,1.64753289473684,NA,FALSE,NA,NA
YDR513W,143,363.37,204.43,1.77747884361395,NA,FALSE,NA,NA
YDR514C,483,23.26,27.41,0.848595403137541,NA,FALSE,NA,NA
YDR515W,447,30.66,31.49,0.973642426167037,NA,FALSE,NA,NA
YDR516C,500,131.18,110.83,1.18361454479834,-9.9,TRUE,53,0.415094339622642
YDR517W,372,81.88,109.15,0.750160329821347,-8,TRUE,74,0.378378378378378
YDR518W,517,73.58,72.73,1.01168706173518,-6.8,TRUE,26,0.384615384615385
YDR519W,135,226.82,168.43,1.34667220803895,NA,FALSE,NA,NA
YDR520C,772,8.95,16.83,0.531788472964944,NA,FALSE,NA,NA
YDR524C,482,13.78,41.25,0.334060606060606,NA,FALSE,NA,NA
YDR524CB,66,11357.99,4192.24,2.7092890674198,-1.6,TRUE,46,0.391304347826087
YDR525WA,79,116.38,62.3,1.86805778491172,NA,FALSE,NA,NA
YDR527W,439,41.09,62.56,0.656809462915601,-12.1,TRUE,13,0.384615384615385
YDR528W,423,14.26,37.7,0.378249336870026,NA,FALSE,NA,NA
YDR529C,127,256.51,198.02,1.2953742046258,NA,FALSE,NA,NA
YDR530C,325,17.9,28.47,0.628731998595012,NA,FALSE,NA,NA
YDR531W,367,64.37,97.09,0.662993099186322,NA,FALSE,NA,NA
YDR532C,385,13.78,17.64,0.781179138321995,NA,FALSE,NA,NA
YDR533C,237,40.27,31.36,1.28411989795918,NA,FALSE,NA,NA
YDR534C,528,13.15,12.68,1.03706624605678,NA,FALSE,NA,NA
YDR538W,242,18.13,32.95,0.550227617602428,-13.1,TRUE,64,0.40625
YDR539W,503,52.17,66.14,0.788781372845479,NA,FALSE,NA,NA
YDR540C,179,6.41,8.8,0.728409090909091,NA,FALSE,NA,NA
YDR541C,344,9.62,29.47,0.326433661350526,NA,FALSE,NA,NA
YEL001C,225,308.43,275.39,1.11997530774538,NA,FALSE,NA,NA
YEL002C,430,242.71,242.3,1.00169211721007,-14.2,TRUE,51,0.411764705882353
YEL003W,111,219.59,187.55,1.17083444414823,NA,FALSE,NA,NA
YEL004W,342,14.44,16.26,0.888068880688807,-11.9,TRUE,25,0.36
YEL005C,282,7.58,17.1,0.44327485380117,NA,FALSE,NA,NA
YEL006W,335,19.09,42.9,0.444988344988345,NA,FALSE,NA,NA
YEL009C,281,27.76,894.11,0.0310476339600273,NA,FALSE,NA,NA
YEL011W,704,13.04,20.55,0.634549878345499,-3.2,TRUE,32,0.40625
YEL012W,218,39.23,35.67,1.09980375665826,-15.9,TRUE,146,0.363013698630137
YEL013W,578,107.06,168.34,0.635974812878698,NA,FALSE,NA,NA
YEL015W,551,68.25,70.12,0.973331431831147,-9.9,TRUE,42,0.380952380952381
YEL016C,493,8.33,32.14,0.259178593652769,NA,FALSE,NA,NA
YEL017CA,43,3762.23,1871.32,2.01046854626681,-6.4,TRUE,31,0.419354838709677
YEL017W,337,59.72,61.48,0.971372804163956,-4.4,TRUE,31,0.419354838709677
YEL018W,279,29.26,31.22,0.937219730941704,NA,FALSE,NA,NA
YEL019C,267,10.6,11.43,0.927384076990376,NA,FALSE,NA,NA
YEL020C,560,9.44,20.13,0.468951813214108,NA,FALSE,NA,NA
YEL020WA,87,210.01,116.53,1.80219685917789,NA,FALSE,NA,NA
YEL022W,1459,40.81,94.38,0.432400932400932,NA,FALSE,NA,NA
YEL024W,215,102.1,68.9,1.48185776487663,-4.3,TRUE,62,0.403225806451613
YEL025C,1188,5.6,34.92,0.160366552119129,-13.2,TRUE,18,0.277777777777778
YEL026W,126,1017.88,728.46,1.397303901381,-8.3,TRUE,91,0.362637362637363
YEL027W,160,1905.21,1386.33,1.3742831793296,NA,FALSE,NA,NA
YEL029C,312,20.21,38.8,0.520876288659794,NA,FALSE,NA,NA
YEL031W,1215,197.27,336.41,0.586397550607889,-9.9,TRUE,32,0.40625
YEL032W,971,41.03,79.32,0.517271810388301,-6.3,TRUE,52,0.423076923076923
YEL034W,157,8062.64,4073.58,1.97925166561108,NA,FALSE,NA,NA
YEL036C,500,56.45,79.24,0.712392730943968,-11.2,TRUE,146,0.363013698630137
YEL037C,398,262.78,182.15,1.44265715069997,-7.7,TRUE,160,0.375
YEL038W,227,94.67,92.58,1.02257507020955,-12.2,TRUE,48,0.395833333333333
YEL040W,467,342.84,390.03,0.879009306976386,-10.6,TRUE,17,0.294117647058824
YEL041W,495,4.87,10.24,0.4755859375,NA,FALSE,NA,NA
YEL042W,518,160.15,188.79,0.848297049631866,-9.2,TRUE,85,0.376470588235294
YEL043W,956,15.59,54.41,0.286528211725786,-13,TRUE,14,0.357142857142857
YEL044W,166,101.48,71.75,1.41435540069686,-8.9,TRUE,30,0.4
YEL046C,387,578.98,444.84,1.30154662350508,-5.6,TRUE,103,0.339805825242718
YEL047C,470,153.28,158.12,0.969390336453327,-11.4,TRUE,15,0.333333333333333
YEL048C,152,33.84,52.45,0.645185891325072,-10.6,TRUE,22,0.363636363636364
YEL050C,393,38.53,58.73,0.656053124467904,NA,FALSE,NA,NA
YEL051W,256,499.32,500.8,0.997044728434505,-9.4,TRUE,51,0.411764705882353
YEL052W,509,30.58,62.56,0.488810741687979,-6.6,TRUE,64,0.40625
YEL053C,733,14.63,32.36,0.452101359703337,-13.8,TRUE,47,0.382978723404255
YEL055C,1022,81.03,130.36,0.621586376189015,NA,FALSE,NA,NA
YEL056W,401,43.75,63.33,0.690825832938576,-8.6,TRUE,52,0.423076923076923
YEL058W,557,112.3,130.95,0.857579228713249,-12.7,TRUE,39,0.41025641025641
YEL059CA,74,17.77,17.29,1.02776171197224,-9.3,TRUE,30,0.4
YEL060C,635,105.91,96.8,1.09411157024793,-10.77,TRUE,56,0.392857142857143
YEL061C,1000,16.74,41,0.408292682926829,NA,FALSE,NA,NA
YEL062W,615,8.89,23.37,0.380402225074882,-10.1,TRUE,14,0.357142857142857
YEL063C,590,73.05,96.68,0.755585436491518,-12.2,TRUE,232,0.370689655172414
YEL064C,480,7.87,15.07,0.522229595222296,NA,FALSE,NA,NA
YEL065W,628,115.82,164.89,0.702407665716538,-10.3,TRUE,21,0.333333333333333
YEL066W,179,84.16,84.96,0.990583804143126,NA,FALSE,NA,NA
YEL071W,496,477.44,428.15,1.11512320448441,-8,TRUE,14,0.357142857142857
YER001W,762,54.29,76.21,0.712373704238289,NA,FALSE,NA,NA
YER002W,231,210.61,67.11,3.13828043510654,NA,FALSE,NA,NA
YER003C,429,411.29,305.16,1.34778476864596,-1.8,TRUE,45,0.377777777777778
YER004W,231,179.45,145.3,1.23503097040606,-13.8,TRUE,9,0.555555555555556
YER005W,630,17.42,44.22,0.393939393939394,NA,FALSE,NA,NA
YER006W,520,211.47,186.26,1.13534843766778,-4.7,TRUE,28,0.392857142857143
YER007CA,181,329.64,233.02,1.41464251995537,-7.6,TRUE,33,0.393939393939394
YER007W,518,7.23,9.79,0.738508682328907,-7,TRUE,22,0.363636363636364
YER008C,1336,22.33,48.55,0.459938208032956,-10.6,TRUE,67,0.388059701492537
YER009W,125,1078.43,742.17,1.4530767883369,-6.2,TRUE,35,0.4
YER010C,234,36.24,55.31,0.655216054962936,-7,TRUE,22,0.363636363636364
YER012W,198,365.48,308.47,1.18481537912925,-4.8,TRUE,63,0.412698412698413
YER013W,1145,13.85,24.76,0.559369951534733,NA,FALSE,NA,NA
YER014W,539,25.82,41.36,0.624274661508704,-4.2,TRUE,55,0.4
YER015W,744,2.03,7.14,0.284313725490196,NA,FALSE,NA,NA
YER016W,344,57.63,72.39,0.796104434314132,-16,TRUE,21,0.333333333333333
YER017C,761,28.66,73.79,0.388399512129015,NA,FALSE,NA,NA
YER018C,221,19.58,32.74,0.598045204642639,NA,FALSE,NA,NA
YER019CA,88,805.02,541.37,1.48700519053512,-8.7,TRUE,54,0.407407407407407
YER019W,477,36.46,53.03,0.687535357344899,NA,FALSE,NA,NA
YER020W,449,38.3,46.15,0.829902491874323,NA,FALSE,NA,NA
YER021W,523,162.62,209.56,0.77600687154037,-11.5,TRUE,12,0.416666666666667
YER022W,687,28.01,39.76,0.704476861167002,-3.4,TRUE,31,0.419354838709677
YER023W,286,553.19,506.09,1.09306645063131,-2.6,TRUE,37,0.405405405405405
YER024W,923,1.09,10.5,0.103809523809524,NA,FALSE,NA,NA
YER025W,527,487.72,367.11,1.32853912996105,-3.4,TRUE,27,0.37037037037037
YER026C,276,234.09,201.85,1.15972256626208,-4.6,TRUE,13,0.384615384615385
YER027C,417,104.49,74.24,1.40746228448276,-7.5,TRUE,73,0.383561643835616
YER028C,394,11.96,22.73,0.526176858776947,NA,FALSE,NA,NA
YER029C,196,74.81,43.44,1.72214548802947,-8,TRUE,67,0.388059701492537
YER030W,153,337.8,174.67,1.93393255853896,-3.8,TRUE,2,1
YER031C,223,269.68,168.61,1.59943063875215,-8.7,TRUE,35,0.4
YER032W,876,14.54,27.08,0.536927621861152,NA,FALSE,NA,NA
YER033C,1076,6.5,15.64,0.415601023017903,NA,FALSE,NA,NA
YER034W,185,50.54,30.59,1.65217391304348,NA,FALSE,NA,NA
YER035W,145,73.37,41.75,1.75736526946108,NA,FALSE,NA,NA
YER036C,610,435.1,481.18,0.904235421256079,-6.2,TRUE,27,0.37037037037037
YER037W,321,31.69,35.26,0.898752127056154,NA,FALSE,NA,NA
YER038C,464,5.08,16.44,0.309002433090024,-11.9,TRUE,11,0.454545454545455
YER040W,730,12.87,23.53,0.546961325966851,NA,FALSE,NA,NA
YER041W,759,2.25,16.28,0.138206388206388,NA,FALSE,NA,NA
YER042W,184,179.65,123.04,1.46009427828348,-7.2,TRUE,21,0.333333333333333
YER043C,449,1588.87,1199.03,1.32512947966273,-5.2,TRUE,25,0.36
YER044C,148,114.04,90.12,1.26542387927208,-3.2,TRUE,40,0.4
YER045C,489,5.58,11.98,0.465776293823038,-7.7,TRUE,152,0.361842105263158
YER046W,143,9.92,21.34,0.46485473289597,NA,FALSE,NA,NA
YER047C,897,11.8,17.83,0.661805945036456,NA,FALSE,NA,NA
YER048C,391,203.77,139.84,1.45716533180778,-5.5,TRUE,68,0.382352941176471
YER048WA,94,244,174.35,1.39948379696014,-7.5,TRUE,37,0.405405405405405
YER049W,644,131.91,153.07,0.861762592278043,-3.4,TRUE,19,0.263157894736842
YER050C,138,130.29,86.66,1.50346180475421,NA,FALSE,NA,NA
YER051W,492,8.59,19.91,0.431441486690105,NA,FALSE,NA,NA
YER052C,527,126.7,128.87,0.983161325366649,NA,FALSE,NA,NA
YER053C,300,25.94,32.15,0.806842923794712,-6.9,TRUE,91,0.362637362637363
YER053CA,37,37.3,9.31,4.00644468313641,NA,FALSE,NA,NA
YER055C,297,418.19,522.48,0.800394273465013,-8,TRUE,10,0.5
YER056C,533,217.89,211.91,1.02821952715776,-0.5,TRUE,88,0.375
YER057C,129,439.52,274.69,1.60005824747898,-3.8,TRUE,81,0.37037037037037
YER058W,107,45.41,22.54,2.01464063886424,NA,FALSE,NA,NA
YER059W,420,30.27,35.97,0.841534612176814,NA,FALSE,NA,NA
YER060W,528,11.01,29.92,0.36798128342246,-11.8,TRUE,140,0.35
YER061C,442,18.38,35.3,0.520679886685552,-6,TRUE,32,0.40625
YER062C,250,245.82,183.47,1.33983757562544,NA,FALSE,NA,NA
YER063W,218,189.08,128,1.4771875,-6.9,TRUE,62,0.403225806451613
YER064C,505,114.26,122.01,0.936480616342923,-5.1,TRUE,91,0.362637362637363
YER067W,161,76.18,56.86,1.33978192050651,NA,FALSE,NA,NA
YER068W,587,61.24,52.65,1.16315289648623,-5.8,TRUE,84,0.369047619047619
YER069W,863,15.86,33.76,0.46978672985782,-7.2,TRUE,53,0.415094339622642
YER070W,888,258.08,350.1,0.737160811196801,-4.2,TRUE,54,0.407407407407407
YER071C,126,62.99,53.51,1.17716314707531,NA,FALSE,NA,NA
YER072W,129,2098.51,1371.92,1.52961542947111,NA,FALSE,NA,NA
YER073W,520,152.33,211.34,0.720781678811394,-5.5,TRUE,81,0.37037037037037
YER074WA,85,226.46,155.17,1.45943159115808,NA,FALSE,NA,NA
YER075C,928,12.13,28.05,0.432442067736185,NA,FALSE,NA,NA
YER076C,302,6.65,15.16,0.438654353562005,NA,FALSE,NA,NA
YER077C,688,11.07,20.32,0.544783464566929,NA,FALSE,NA,NA
YER078C,511,18.06,34.29,0.52668416447944,NA,FALSE,NA,NA
YER080W,627,104.27,129.51,0.8051115743958,NA,FALSE,NA,NA
YER081W,469,11.04,35.36,0.312217194570136,NA,FALSE,NA,NA
YER082C,554,71.01,75.16,0.944784459819053,-6.8,TRUE,41,0.390243902439024
YER083C,285,110.53,102.23,1.08118947471388,-10.3,TRUE,19,0.263157894736842
YER086W,576,164.91,202.07,0.816103330529025,NA,FALSE,NA,NA
YER087CB,82,553.17,353.51,1.56479307516053,NA,FALSE,NA,NA
YER087W,576,19.99,24.52,0.815252854812398,-8.3,TRUE,39,0.41025641025641
YER088C,670,47.34,63.32,0.747631080227416,NA,FALSE,NA,NA
YER089C,464,100.5,163.03,0.616450959946022,NA,FALSE,NA,NA
YER090W,507,252.56,183.47,1.37657382678367,-7.4,TRUE,68,0.382352941176471
YER091C,767,763.85,673.48,1.13418364316683,-4.2,TRUE,71,0.394366197183099
YER092W,125,122.07,92.52,1.31939040207523,NA,FALSE,NA,NA
YER093C,1430,6.89,24.61,0.279967492889069,NA,FALSE,NA,NA
YER093CA,137,28.09,25.86,1.08623356535189,-6.4,TRUE,14,0.357142857142857
YER094C,205,297.4,257.84,1.15342848278002,-12.3,TRUE,102,0.343137254901961
YER095W,400,58.21,53.4,1.09007490636704,NA,FALSE,NA,NA
YER098W,754,4.17,13.51,0.308660251665433,NA,FALSE,NA,NA
YER099C,318,82.17,65.93,1.24632185651448,NA,FALSE,NA,NA
YER100W,250,177.81,88.98,1.99831422791639,-2.8,TRUE,79,0.367088607594937
YER101C,430,16.98,15.11,1.12375909993382,NA,FALSE,NA,NA
YER103W,642,26,24.22,1.07349298100743,NA,FALSE,NA,NA
YER104W,208,23.36,16.8,1.39047619047619,-8.9,TRUE,19,0.263157894736842
YER105C,1391,40.93,101.65,0.402656173143138,-15.6,TRUE,22,0.363636363636364
YER107C,365,67.77,71.06,0.953701097663946,-8.7,TRUE,177,0.389830508474576
YER110C,1113,463.94,504.31,0.919950030735064,-9.4,TRUE,113,0.345132743362832
YER111C,1093,16.38,45.79,0.357720026206595,NA,FALSE,NA,NA
YER112W,187,166.13,102.64,1.6185697583788,-2.1,TRUE,42,0.380952380952381
YER113C,706,20.97,55.63,0.376954880460183,-7.7,TRUE,52,0.423076923076923
YER114C,1040,43.37,62.51,0.69380899056151,NA,FALSE,NA,NA
YER115C,191,6.95,38.91,0.178617322025186,NA,FALSE,NA,NA
YER116C,274,19.96,25.69,0.776956014013235,NA,FALSE,NA,NA
YER118C,367,65.02,77.64,0.837454920144255,NA,FALSE,NA,NA
YER119C,448,34.19,42.4,0.806367924528302,-11,TRUE,27,0.37037037037037
YER120W,244,735.19,415.3,1.77026246087166,-6.9,TRUE,27,0.37037037037037
YER122C,493,197.04,176.4,1.11700680272109,NA,FALSE,NA,NA
YER123W,524,31.8,46.96,0.67717206132879,NA,FALSE,NA,NA
YER124C,573,173.14,240.49,0.719946775333694,-8.7,TRUE,41,0.390243902439024
YER125W,809,134.72,207.93,0.647910354446208,-8.8,TRUE,505,0.415841584158416
YER126C,261,242.08,168.01,1.44086661508244,-5.3,TRUE,28,0.392857142857143
YER127W,357,72.01,77.89,0.924508922839902,-4.1,TRUE,22,0.363636363636364
YER128W,203,18,15.27,1.17878192534381,NA,FALSE,NA,NA
YER129W,1142,9.38,43.27,0.216778368384562,NA,FALSE,NA,NA
YER130C,443,27.89,37.99,0.734140563306133,-4.5,TRUE,68,0.382352941176471
YER131W,119,2722.02,2027.75,1.34238441622488,-2,TRUE,383,0.409921671018277
YER132C,1753,5.93,36.86,0.160879001627781,NA,FALSE,NA,NA
YER133W,312,364.72,318.95,1.14350211631917,-4,TRUE,70,0.385714285714286
YER134C,178,64.28,59.45,1.08124474348192,-10.6,TRUE,13,0.384615384615385
YER136W,451,263.39,236.69,1.11280577971186,NA,FALSE,NA,NA
YER137C,148,16.68,18.95,0.880211081794195,-5.5,TRUE,21,0.333333333333333
YER139C,226,30.3,24.39,1.24231242312423,NA,FALSE,NA,NA
YER140W,556,11.15,28.33,0.393575714789975,NA,FALSE,NA,NA
YER142C,296,21.21,30.76,0.689531859557867,NA,FALSE,NA,NA
YER143W,428,61.01,38.87,1.56959094417288,NA,FALSE,NA,NA
YER144C,805,9.66,29.1,0.331958762886598,-20.7,TRUE,10,0.5
YER145C,404,283.31,305.4,0.927668631303209,-12.9,TRUE,22,0.363636363636364
YER146W,93,320.26,268.83,1.1913104936205,NA,FALSE,NA,NA
YER147C,624,10.38,19.95,0.520300751879699,NA,FALSE,NA,NA
YER148W,240,198.69,199.94,0.993748124437331,NA,FALSE,NA,NA
YER149C,420,25.96,46.29,0.560812270468784,-10.8,TRUE,52,0.423076923076923
YER150W,148,20.23,16.96,1.19280660377358,NA,FALSE,NA,NA
YER151C,912,63.16,88.5,0.713672316384181,-5.4,TRUE,75,0.373333333333333
YER152C,443,38.51,102.43,0.375964073025481,NA,FALSE,NA,NA
YER153C,254,7.86,34.3,0.229154518950437,NA,FALSE,NA,NA
YER154W,402,35.17,82.39,0.426872193227333,-10.3,TRUE,5,0.6
YER155C,2167,37.47,146.69,0.255436635080783,-7.9,TRUE,63,0.412698412698413
YER156C,338,167.98,142.99,1.17476746625638,-4.7,TRUE,17,0.294117647058824
YER157W,801,19.33,43.69,0.442435339894713,-10.5,TRUE,17,0.294117647058824
YER158C,573,4.24,7.13,0.594670406732118,NA,FALSE,NA,NA
YER159C,142,112.01,76.25,1.46898360655738,NA,FALSE,NA,NA
YER161C,333,40.63,46.7,0.870021413276231,-13,TRUE,48,0.395833333333333
YER162C,754,8.42,10.9,0.772477064220183,NA,FALSE,NA,NA
YER163C,232,44.63,67.03,0.665821274056393,-12.9,TRUE,9,0.555555555555556
YER164W,1468,47.41,76.54,0.619414685131957,NA,FALSE,NA,NA
YER165W,577,1314.99,1120.69,1.17337533126913,-7.4,TRUE,143,0.356643356643357
YER166W,1571,33.12,92.42,0.358363990478251,NA,FALSE,NA,NA
YER167W,851,14.21,35.57,0.399493955580545,NA,FALSE,NA,NA
YER168C,546,43.36,58.23,0.744633350506612,NA,FALSE,NA,NA
YER169W,796,12.14,24.55,0.494501018329939,NA,FALSE,NA,NA
YER170W,225,28.91,21,1.37666666666667,-4,TRUE,24,0.333333333333333
YER171W,778,23.91,43.65,0.547766323024055,NA,FALSE,NA,NA
YER172C,2163,19.19,52.22,0.367483722711605,NA,FALSE,NA,NA
YER173W,659,4.32,18.67,0.231387252276379,-8.4,TRUE,1,1
YER174C,244,49.81,59.7,0.834338358458961,NA,FALSE,NA,NA
YER175C,299,19.83,22.39,0.885663242518982,NA,FALSE,NA,NA
YER176W,1121,26.75,40.13,0.66658360328931,NA,FALSE,NA,NA
YER177W,267,1767.18,1289.55,1.37038501802955,-2,TRUE,40,0.4
YER178W,420,838.24,996.84,0.840897235263432,-8.4,TRUE,26,0.384615384615385
YER180CA,85,52.67,50.95,1.03375858684985,-13.4,TRUE,19,0.263157894736842
YER182W,244,38.29,32.27,1.18655097613883,-5,TRUE,36,0.416666666666667
YER183C,211,60.18,71.61,0.840385421030582,-7.4,TRUE,2,1
